task,group,method,metrics_path,config_path,is_final,note,exists,rmse,mae,nasa_score,ra,alpha_lambda_0.5,alpha_lambda_0.8,last_window_rmse,last_5_avg_rmse,best_epoch,num_parameters,latency_ms_per_sample
first,ablation,PG-STDA-SAC with R-SPA weight 0.001,outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p001_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.13321490679043024,0.10747404888552876,7.503320492164584,0.6699731751420601,0.47560975609756095,0.23529411764705882,0.1804886868409346,0.17875747692146876,48.0,49104.0,0.27669570552160355
second,ablation,PG-STDA compact proxy,outputs/second_transfer_pg_stda_50e/psa_mcd_proxy_compact_only_w0p003_50e/transfer_metrics.json,,False,,True,0.35161800438544766,0.2824322010647276,69.83583737706984,0.43571568536252375,0.33444816053511706,0.21283783783783783,0.29567014363067573,0.3026931952396871,43.0,48848.0,0.17171289063071526
second,ablation,PG-STDA compact proxy + low monotonic,outputs/second_transfer_pg_stda_50e/psa_mcd_proxy_compact_mono_low_w0p003_50e/transfer_metrics.json,,False,,True,0.33260397313565154,0.26526844524468374,66.54763041433677,0.45760119202741695,0.3010033444816054,0.125,0.31655650339521735,0.3274185054148253,46.0,48848.0,0.10490046874451764
second,ablation,PG-STDA-SAC,outputs/second_transfer_pg_stda_sac_50e/psa_mcd_proxy_compact_mono_low_sac_s0p01_t0p003_w0p003_50e/transfer_metrics.json,,False,,True,0.3059346227158326,0.2465106899242644,62.83171733626136,0.49080862200707387,0.4013377926421405,0.12837837837837837,0.33816359281163955,0.34440177742295786,47.0,48848.0,0.22410453125871754
second,ablation,PG-STDA-SAC source balance 0.65,outputs/second_transfer_pg_stda_sac_ablations_50e/pg_stda_sac_srcsup0p65_w0p003_50e/transfer_metrics.json,,False,,True,0.29077215303533577,0.23464144320740837,60.71188571523694,0.504317148533539,0.5518394648829431,0.06756756756756757,0.35194919544096026,0.35329318147614464,47.0,48848.0,0.1347021093749845
second,ablation,PG-STDA-SAC source balance 0.70,outputs/second_transfer_pg_stda_sac_ablations_50e/pg_stda_sac_srcsup0p7_w0p003_50e/transfer_metrics.json,,False,,True,0.29136291471666387,0.23368809754584668,60.00562369954752,0.5077986915024061,0.4916387959866221,0.08445945945945946,0.336115010387305,0.33552770712316926,47.0,48848.0,0.16101523436873322
second,ablation,PG-STDA-SAC with R-SPA weight 0.0008,outputs/second_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p0008_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.29108800106515,0.2346449722519723,59.84516263240555,0.5100492516488798,0.5050167224080268,0.10810810810810811,0.326780754256644,0.33042275444169034,47.0,48848.0,0.13881914062494616
second,ablation,PG-STDA-SAC with R-SPA weight 0.001,outputs/second_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p001_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.2888416498063437,0.23164125740010574,58.93006578968733,0.5117178136313318,0.47491638795986624,0.12162162162162163,0.31110669193874674,0.3166404319506991,47.0,48848.0,0.22639992186839208
second,ablation,PG-STDA-SAC with R-SPA weight 0.003,outputs/second_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p003_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.2962138008309575,0.23713958819454903,60.329636162001194,0.5012042398690807,0.42474916387959866,0.11148648648648649,0.3168434407259121,0.31923135112953727,47.0,48848.0,0.16897640624904398
second,ablation,PG-STDA-SAC TLMC 0.001,outputs/second_transfer_pg_stda_tlmc_50e/pg_stda_sac_tlmc_m0p001_w0p003_50e/transfer_metrics.json,,False,,True,0.31782016720653566,0.2552344586978857,64.69220435837173,0.4725045572414632,0.42474916387959866,0.0777027027027027,0.32784479297092023,0.33696990038039615,46.0,48848.0,0.1078158593770695
